"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_ofiary_smiertelne_na_100_tys_ludnosci_osoba"
"15568",3209000,"Powiat koszaliński",2006,NA
"15569",3210000,"Powiat myśliborski",2006,NA
"15570",3211000,"Powiat policki",2006,NA
"15571",3212000,"Powiat pyrzycki",2006,NA
"15572",3213000,"Powiat sławieński",2006,NA
"15573",3214000,"Powiat stargardzki",2006,NA
"15574",3215000,"Powiat szczecinecki",2006,NA
"15575",3216000,"Powiat świdwiński",2006,NA
"15576",3217000,"Powiat wałecki",2006,NA
"15577",3218000,"Powiat łobeski",2006,NA
"15578",3261000,"Powiat m.Koszalin",2006,NA
"15579",3262000,"Powiat m.Szczecin",2006,NA
"15580",3263000,"Powiat m.Świnoujście",2006,NA
"15581",201000,"Powiat bolesławiecki",2007,NA
"15582",202000,"Powiat dzierżoniowski",2007,NA
"15583",203000,"Powiat głogowski",2007,NA
"15584",204000,"Powiat górowski",2007,NA
"15585",205000,"Powiat jaworski",2007,NA
"15586",206000,"Powiat jeleniogórski",2007,NA
"15587",207000,"Powiat kamiennogórski",2007,NA
"15588",208000,"Powiat kłodzki",2007,NA
"15589",209000,"Powiat legnicki",2007,NA
"15590",210000,"Powiat lubański",2007,NA
"15591",211000,"Powiat lubiński",2007,NA
"15592",212000,"Powiat lwówecki",2007,NA
"15593",213000,"Powiat milicki",2007,NA
"15594",214000,"Powiat oleśnicki",2007,NA
"15595",215000,"Powiat oławski",2007,NA
"15596",216000,"Powiat polkowicki",2007,NA
"15597",217000,"Powiat strzeliński",2007,NA
"15598",218000,"Powiat średzki",2007,NA
"15599",219000,"Powiat świdnicki",2007,NA
"15600",220000,"Powiat trzebnicki",2007,NA
"15601",221000,"Powiat wałbrzyski",2007,NA
"15602",222000,"Powiat wołowski",2007,NA
"15603",223000,"Powiat wrocławski",2007,NA
"15604",224000,"Powiat ząbkowicki",2007,NA
"15605",225000,"Powiat zgorzelecki",2007,NA
"15606",226000,"Powiat złotoryjski",2007,NA
"15607",261000,"Powiat m.Jelenia Góra",2007,NA
"15608",262000,"Powiat m.Legnica",2007,NA
"15609",264000,"Powiat m.Wrocław",2007,NA
"15610",265000,"Powiat m.Wałbrzych od 2013",2007,NA
"15611",401000,"Powiat aleksandrowski",2007,NA
"15612",402000,"Powiat brodnicki",2007,NA
"15613",403000,"Powiat bydgoski",2007,NA
"15614",404000,"Powiat chełmiński",2007,NA
"15615",405000,"Powiat golubsko-dobrzyński",2007,NA
"15616",406000,"Powiat grudziądzki",2007,NA
"15617",407000,"Powiat inowrocławski",2007,NA
"15618",408000,"Powiat lipnowski",2007,NA
"15619",409000,"Powiat mogileński",2007,NA
"15620",410000,"Powiat nakielski",2007,NA
"15621",411000,"Powiat radziejowski",2007,NA
"15622",412000,"Powiat rypiński",2007,NA
"15623",413000,"Powiat sępoleński",2007,NA
"15624",414000,"Powiat świecki",2007,NA
"15625",415000,"Powiat toruński",2007,NA
"15626",416000,"Powiat tucholski",2007,NA
"15627",417000,"Powiat wąbrzeski",2007,NA
"15628",418000,"Powiat włocławski",2007,NA
"15629",419000,"Powiat żniński",2007,NA
"15630",461000,"Powiat m.Bydgoszcz",2007,NA
"15631",462000,"Powiat m.Grudziądz",2007,NA
"15632",463000,"Powiat m.Toruń",2007,NA
"15633",464000,"Powiat m.Włocławek",2007,NA
"15634",601000,"Powiat bialski",2007,NA
"15635",602000,"Powiat biłgorajski",2007,NA
"15636",603000,"Powiat chełmski",2007,NA
"15637",604000,"Powiat hrubieszowski",2007,NA
"15638",605000,"Powiat janowski",2007,NA
"15639",606000,"Powiat krasnostawski",2007,NA
"15640",607000,"Powiat kraśnicki",2007,NA
"15641",608000,"Powiat lubartowski",2007,NA
"15642",609000,"Powiat lubelski",2007,NA
"15643",610000,"Powiat łęczyński",2007,NA
"15644",611000,"Powiat łukowski",2007,NA
"15645",612000,"Powiat opolski",2007,NA
"15646",613000,"Powiat parczewski",2007,NA
"15647",614000,"Powiat puławski",2007,NA
"15648",615000,"Powiat radzyński",2007,NA
"15649",616000,"Powiat rycki",2007,NA
"15650",617000,"Powiat świdnicki",2007,NA
"15651",618000,"Powiat tomaszowski",2007,NA
"15652",619000,"Powiat włodawski",2007,NA
"15653",620000,"Powiat zamojski",2007,NA
"15654",661000,"Powiat m.Biała Podlaska",2007,NA
"15655",662000,"Powiat m.Chełm",2007,NA
"15656",663000,"Powiat m.Lublin",2007,NA
"15657",664000,"Powiat m.Zamość",2007,NA
"15658",801000,"Powiat gorzowski",2007,NA
"15659",802000,"Powiat krośnieński",2007,NA
"15660",803000,"Powiat międzyrzecki",2007,NA
"15661",804000,"Powiat nowosolski",2007,NA
"15662",805000,"Powiat słubicki",2007,NA
"15663",806000,"Powiat strzelecko-drezdenecki",2007,NA
"15664",807000,"Powiat sulęciński",2007,NA
"15665",808000,"Powiat świebodziński",2007,NA
"15666",809000,"Powiat zielonogórski",2007,NA
"15667",810000,"Powiat żagański",2007,NA
"15668",811000,"Powiat żarski",2007,NA
"15669",812000,"Powiat wschowski",2007,NA
"15670",861000,"Powiat m.Gorzów Wielkopolski",2007,NA
"15671",862000,"Powiat m.Zielona Góra",2007,NA
"15672",1001000,"Powiat bełchatowski",2007,NA
"15673",1002000,"Powiat kutnowski",2007,NA
"15674",1003000,"Powiat łaski",2007,NA
"15675",1004000,"Powiat łęczycki",2007,NA
"15676",1005000,"Powiat łowicki",2007,NA
"15677",1006000,"Powiat łódzki wschodni",2007,NA
"15678",1007000,"Powiat opoczyński",2007,NA
"15679",1008000,"Powiat pabianicki",2007,NA
"15680",1009000,"Powiat pajęczański",2007,NA
"15681",1010000,"Powiat piotrkowski",2007,NA
"15682",1011000,"Powiat poddębicki",2007,NA
"15683",1012000,"Powiat radomszczański",2007,NA
"15684",1013000,"Powiat rawski",2007,NA
"15685",1014000,"Powiat sieradzki",2007,NA
"15686",1015000,"Powiat skierniewicki",2007,NA
"15687",1016000,"Powiat tomaszowski",2007,NA
"15688",1017000,"Powiat wieluński",2007,NA
"15689",1018000,"Powiat wieruszowski",2007,NA
"15690",1019000,"Powiat zduńskowolski",2007,NA
"15691",1020000,"Powiat zgierski",2007,NA
"15692",1021000,"Powiat brzeziński",2007,NA
"15693",1061000,"Powiat m.Łódź",2007,NA
"15694",1062000,"Powiat m.Piotrków Trybunalski",2007,NA
"15695",1063000,"Powiat m.Skierniewice",2007,NA
"15696",1201000,"Powiat bocheński",2007,NA
"15697",1202000,"Powiat brzeski",2007,NA
"15698",1203000,"Powiat chrzanowski",2007,NA
"15699",1204000,"Powiat dąbrowski",2007,NA
"15700",1205000,"Powiat gorlicki",2007,NA
"15701",1206000,"Powiat krakowski",2007,NA
"15702",1207000,"Powiat limanowski",2007,NA
"15703",1208000,"Powiat miechowski",2007,NA
"15704",1209000,"Powiat myślenicki",2007,NA
"15705",1210000,"Powiat nowosądecki",2007,NA
"15706",1211000,"Powiat nowotarski",2007,NA
"15707",1212000,"Powiat olkuski",2007,NA
"15708",1213000,"Powiat oświęcimski",2007,NA
"15709",1214000,"Powiat proszowicki",2007,NA
"15710",1215000,"Powiat suski",2007,NA
"15711",1216000,"Powiat tarnowski",2007,NA
"15712",1217000,"Powiat tatrzański",2007,NA
"15713",1218000,"Powiat wadowicki",2007,NA
"15714",1219000,"Powiat wielicki",2007,NA
"15715",1261000,"Powiat m.Kraków",2007,NA
"15716",1262000,"Powiat m.Nowy Sącz",2007,NA
"15717",1263000,"Powiat m.Tarnów",2007,NA
"15718",1401000,"Powiat białobrzeski",2007,NA
"15719",1402000,"Powiat ciechanowski",2007,NA
"15720",1403000,"Powiat garwoliński",2007,NA
"15721",1404000,"Powiat gostyniński",2007,NA
"15722",1405000,"Powiat grodziski",2007,NA
"15723",1406000,"Powiat grójecki",2007,NA
"15724",1407000,"Powiat kozienicki",2007,NA
"15725",1408000,"Powiat legionowski",2007,NA
"15726",1409000,"Powiat lipski",2007,NA
"15727",1410000,"Powiat łosicki",2007,NA
"15728",1411000,"Powiat makowski",2007,NA
"15729",1412000,"Powiat miński",2007,NA
"15730",1413000,"Powiat mławski",2007,NA
"15731",1414000,"Powiat nowodworski",2007,NA
"15732",1415000,"Powiat ostrołęcki",2007,NA
"15733",1416000,"Powiat ostrowski",2007,NA
"15734",1417000,"Powiat otwocki",2007,NA
"15735",1418000,"Powiat piaseczyński",2007,NA
"15736",1419000,"Powiat płocki",2007,NA
"15737",1420000,"Powiat płoński",2007,NA
"15738",1421000,"Powiat pruszkowski",2007,NA
"15739",1422000,"Powiat przasnyski",2007,NA
"15740",1423000,"Powiat przysuski",2007,NA
"15741",1424000,"Powiat pułtuski",2007,NA
"15742",1425000,"Powiat radomski",2007,NA
"15743",1426000,"Powiat siedlecki",2007,NA
"15744",1427000,"Powiat sierpecki",2007,NA
"15745",1428000,"Powiat sochaczewski",2007,NA
"15746",1429000,"Powiat sokołowski",2007,NA
"15747",1430000,"Powiat szydłowiecki",2007,NA
"15748",1432000,"Powiat warszawski zachodni",2007,NA
"15749",1433000,"Powiat węgrowski",2007,NA
"15750",1434000,"Powiat wołomiński",2007,NA
"15751",1435000,"Powiat wyszkowski",2007,NA
"15752",1436000,"Powiat zwoleński",2007,NA
"15753",1437000,"Powiat żuromiński",2007,NA
"15754",1438000,"Powiat żyrardowski",2007,NA
"15755",1461000,"Powiat m.Ostrołęka",2007,NA
"15756",1462000,"Powiat m.Płock",2007,NA
"15757",1463000,"Powiat m.Radom",2007,NA
"15758",1464000,"Powiat m.Siedlce",2007,NA
"15759",1465000,"Powiat m. st. Warszawa",2007,NA
"15760",1601000,"Powiat brzeski",2007,NA
"15761",1602000,"Powiat głubczycki",2007,NA
"15762",1603000,"Powiat kędzierzyńsko-kozielski",2007,NA
"15763",1604000,"Powiat kluczborski",2007,NA
"15764",1605000,"Powiat krapkowicki",2007,NA
"15765",1606000,"Powiat namysłowski",2007,NA
"15766",1607000,"Powiat nyski",2007,NA
"15767",1608000,"Powiat oleski",2007,NA
"15768",1609000,"Powiat opolski",2007,NA
"15769",1610000,"Powiat prudnicki",2007,NA
"15770",1611000,"Powiat strzelecki",2007,NA
"15771",1661000,"Powiat m.Opole",2007,NA
"15772",1801000,"Powiat bieszczadzki",2007,NA
"15773",1802000,"Powiat brzozowski",2007,NA
"15774",1803000,"Powiat dębicki",2007,NA
"15775",1804000,"Powiat jarosławski",2007,NA
"15776",1805000,"Powiat jasielski",2007,NA
"15777",1806000,"Powiat kolbuszowski",2007,NA
"15778",1807000,"Powiat krośnieński",2007,NA
"15779",1808000,"Powiat leżajski",2007,NA
"15780",1809000,"Powiat lubaczowski",2007,NA
"15781",1810000,"Powiat łańcucki",2007,NA
"15782",1811000,"Powiat mielecki",2007,NA
"15783",1812000,"Powiat niżański",2007,NA
"15784",1813000,"Powiat przemyski",2007,NA
"15785",1814000,"Powiat przeworski",2007,NA
"15786",1815000,"Powiat ropczycko-sędziszowski",2007,NA
"15787",1816000,"Powiat rzeszowski",2007,NA
"15788",1817000,"Powiat sanocki",2007,NA
"15789",1818000,"Powiat stalowowolski",2007,NA
"15790",1819000,"Powiat strzyżowski",2007,NA
"15791",1820000,"Powiat tarnobrzeski",2007,NA
"15792",1821000,"Powiat leski",2007,NA
"15793",1861000,"Powiat m.Krosno",2007,NA
"15794",1862000,"Powiat m.Przemyśl",2007,NA
"15795",1863000,"Powiat m.Rzeszów",2007,NA
"15796",1864000,"Powiat m.Tarnobrzeg",2007,NA
"15797",2001000,"Powiat augustowski",2007,NA
"15798",2002000,"Powiat białostocki",2007,NA
"15799",2003000,"Powiat bielski",2007,NA
"15800",2004000,"Powiat grajewski",2007,NA
"15801",2005000,"Powiat hajnowski",2007,NA
"15802",2006000,"Powiat kolneński",2007,NA
"15803",2007000,"Powiat łomżyński",2007,NA
"15804",2008000,"Powiat moniecki",2007,NA
"15805",2009000,"Powiat sejneński",2007,NA
"15806",2010000,"Powiat siemiatycki",2007,NA
"15807",2011000,"Powiat sokólski",2007,NA
"15808",2012000,"Powiat suwalski",2007,NA
"15809",2013000,"Powiat wysokomazowiecki",2007,NA
"15810",2014000,"Powiat zambrowski",2007,NA
"15811",2061000,"Powiat m.Białystok",2007,NA
"15812",2062000,"Powiat m.Łomża",2007,NA
"15813",2063000,"Powiat m.Suwałki",2007,NA
"15814",2201000,"Powiat bytowski",2007,NA
"15815",2202000,"Powiat chojnicki",2007,NA
"15816",2203000,"Powiat człuchowski",2007,NA
"15817",2204000,"Powiat gdański",2007,NA
"15818",2205000,"Powiat kartuski",2007,NA
"15819",2206000,"Powiat kościerski",2007,NA
"15820",2207000,"Powiat kwidzyński",2007,NA
"15821",2208000,"Powiat lęborski",2007,NA
"15822",2209000,"Powiat malborski",2007,NA
"15823",2210000,"Powiat nowodworski",2007,NA
"15824",2211000,"Powiat pucki",2007,NA
"15825",2212000,"Powiat słupski",2007,NA
"15826",2213000,"Powiat starogardzki",2007,NA
"15827",2214000,"Powiat tczewski",2007,NA
"15828",2215000,"Powiat wejherowski",2007,NA
"15829",2216000,"Powiat sztumski",2007,NA
"15830",2261000,"Powiat m.Gdańsk",2007,NA
"15831",2262000,"Powiat m.Gdynia",2007,NA
"15832",2263000,"Powiat m.Słupsk",2007,NA
"15833",2264000,"Powiat m.Sopot",2007,NA
"15834",2401000,"Powiat będziński",2007,NA
"15835",2402000,"Powiat bielski",2007,NA
"15836",2403000,"Powiat cieszyński",2007,NA
"15837",2404000,"Powiat częstochowski",2007,NA
"15838",2405000,"Powiat gliwicki",2007,NA
"15839",2406000,"Powiat kłobucki",2007,NA
"15840",2407000,"Powiat lubliniecki",2007,NA
"15841",2408000,"Powiat mikołowski",2007,NA
"15842",2409000,"Powiat myszkowski",2007,NA
"15843",2410000,"Powiat pszczyński",2007,NA
"15844",2411000,"Powiat raciborski",2007,NA
"15845",2412000,"Powiat rybnicki",2007,NA
"15846",2413000,"Powiat tarnogórski",2007,NA
"15847",2414000,"Powiat bieruńsko-lędziński",2007,NA
"15848",2415000,"Powiat wodzisławski",2007,NA
"15849",2416000,"Powiat zawierciański",2007,NA
"15850",2417000,"Powiat żywiecki",2007,NA
"15851",2461000,"Powiat m.Bielsko-Biała",2007,NA
"15852",2462000,"Powiat m.Bytom",2007,NA
"15853",2463000,"Powiat m.Chorzów",2007,NA
"15854",2464000,"Powiat m.Częstochowa",2007,NA
"15855",2465000,"Powiat m.Dąbrowa Górnicza",2007,NA
"15856",2466000,"Powiat m.Gliwice",2007,NA
"15857",2467000,"Powiat m.Jastrzębie-Zdrój",2007,NA
"15858",2468000,"Powiat m.Jaworzno",2007,NA
"15859",2469000,"Powiat m.Katowice",2007,NA
"15860",2470000,"Powiat m.Mysłowice",2007,NA
"15861",2471000,"Powiat m.Piekary Śląskie",2007,NA
"15862",2472000,"Powiat m.Ruda Śląska",2007,NA
"15863",2473000,"Powiat m.Rybnik",2007,NA
"15864",2474000,"Powiat m.Siemianowice Śląskie",2007,NA
"15865",2475000,"Powiat m.Sosnowiec",2007,NA
"15866",2476000,"Powiat m.Świętochłowice",2007,NA
"15867",2477000,"Powiat m.Tychy",2007,NA
"15868",2478000,"Powiat m.Zabrze",2007,NA
"15869",2479000,"Powiat m.Żory",2007,NA
"15870",2601000,"Powiat buski",2007,NA
"15871",2602000,"Powiat jędrzejowski",2007,NA
"15872",2603000,"Powiat kazimierski",2007,NA
"15873",2604000,"Powiat kielecki",2007,NA
"15874",2605000,"Powiat konecki",2007,NA
"15875",2606000,"Powiat opatowski",2007,NA
"15876",2607000,"Powiat ostrowiecki",2007,NA
"15877",2608000,"Powiat pińczowski",2007,NA
"15878",2609000,"Powiat sandomierski",2007,NA
"15879",2610000,"Powiat skarżyski",2007,NA
"15880",2611000,"Powiat starachowicki",2007,NA
"15881",2612000,"Powiat staszowski",2007,NA
"15882",2613000,"Powiat włoszczowski",2007,NA
"15883",2661000,"Powiat m.Kielce",2007,NA
"15884",2801000,"Powiat bartoszycki",2007,NA
"15885",2802000,"Powiat braniewski",2007,NA
"15886",2803000,"Powiat działdowski",2007,NA
"15887",2804000,"Powiat elbląski",2007,NA
"15888",2805000,"Powiat ełcki",2007,NA
"15889",2806000,"Powiat giżycki",2007,NA
"15890",2807000,"Powiat iławski",2007,NA
"15891",2808000,"Powiat kętrzyński",2007,NA
"15892",2809000,"Powiat lidzbarski",2007,NA
"15893",2810000,"Powiat mrągowski",2007,NA
"15894",2811000,"Powiat nidzicki",2007,NA
"15895",2812000,"Powiat nowomiejski",2007,NA
"15896",2813000,"Powiat olecki",2007,NA
"15897",2814000,"Powiat olsztyński",2007,NA
"15898",2815000,"Powiat ostródzki",2007,NA
"15899",2816000,"Powiat piski",2007,NA
"15900",2817000,"Powiat szczycieński",2007,NA
"15901",2818000,"Powiat gołdapski",2007,NA
"15902",2819000,"Powiat węgorzewski",2007,NA
"15903",2861000,"Powiat m.Elbląg",2007,NA
"15904",2862000,"Powiat m.Olsztyn",2007,NA
"15905",3001000,"Powiat chodzieski",2007,NA
"15906",3002000,"Powiat czarnkowsko-trzcianecki",2007,NA
"15907",3003000,"Powiat gnieźnieński",2007,NA
"15908",3004000,"Powiat gostyński",2007,NA
"15909",3005000,"Powiat grodziski",2007,NA
"15910",3006000,"Powiat jarociński",2007,NA
"15911",3007000,"Powiat kaliski",2007,NA
"15912",3008000,"Powiat kępiński",2007,NA
"15913",3009000,"Powiat kolski",2007,NA
"15914",3010000,"Powiat koniński",2007,NA
"15915",3011000,"Powiat kościański",2007,NA
"15916",3012000,"Powiat krotoszyński",2007,NA
"15917",3013000,"Powiat leszczyński",2007,NA
"15918",3014000,"Powiat międzychodzki",2007,NA
"15919",3015000,"Powiat nowotomyski",2007,NA
"15920",3016000,"Powiat obornicki",2007,NA
"15921",3017000,"Powiat ostrowski",2007,NA
"15922",3018000,"Powiat ostrzeszowski",2007,NA
"15923",3019000,"Powiat pilski",2007,NA
"15924",3020000,"Powiat pleszewski",2007,NA
"15925",3021000,"Powiat poznański",2007,NA
"15926",3022000,"Powiat rawicki",2007,NA
"15927",3023000,"Powiat słupecki",2007,NA
"15928",3024000,"Powiat szamotulski",2007,NA
"15929",3025000,"Powiat średzki",2007,NA
"15930",3026000,"Powiat śremski",2007,NA
"15931",3027000,"Powiat turecki",2007,NA
"15932",3028000,"Powiat wągrowiecki",2007,NA
"15933",3029000,"Powiat wolsztyński",2007,NA
"15934",3030000,"Powiat wrzesiński",2007,NA
"15935",3031000,"Powiat złotowski",2007,NA
"15936",3061000,"Powiat m.Kalisz",2007,NA
"15937",3062000,"Powiat m.Konin",2007,NA
"15938",3063000,"Powiat m.Leszno",2007,NA
"15939",3064000,"Powiat m.Poznań",2007,NA
"15940",3201000,"Powiat białogardzki",2007,NA
"15941",3202000,"Powiat choszczeński",2007,NA
"15942",3203000,"Powiat drawski",2007,NA
"15943",3204000,"Powiat goleniowski",2007,NA
"15944",3205000,"Powiat gryficki",2007,NA
"15945",3206000,"Powiat gryfiński",2007,NA
"15946",3207000,"Powiat kamieński",2007,NA
"15947",3208000,"Powiat kołobrzeski",2007,NA
"15948",3209000,"Powiat koszaliński",2007,NA
"15949",3210000,"Powiat myśliborski",2007,NA
"15950",3211000,"Powiat policki",2007,NA
"15951",3212000,"Powiat pyrzycki",2007,NA
"15952",3213000,"Powiat sławieński",2007,NA
"15953",3214000,"Powiat stargardzki",2007,NA
"15954",3215000,"Powiat szczecinecki",2007,NA
"15955",3216000,"Powiat świdwiński",2007,NA
"15956",3217000,"Powiat wałecki",2007,NA
"15957",3218000,"Powiat łobeski",2007,NA
"15958",3261000,"Powiat m.Koszalin",2007,NA
"15959",3262000,"Powiat m.Szczecin",2007,NA
"15960",3263000,"Powiat m.Świnoujście",2007,NA
"15961",201000,"Powiat bolesławiecki",2008,NA
"15962",202000,"Powiat dzierżoniowski",2008,NA
"15963",203000,"Powiat głogowski",2008,NA
"15964",204000,"Powiat górowski",2008,NA
"15965",205000,"Powiat jaworski",2008,NA
"15966",206000,"Powiat jeleniogórski",2008,NA
"15967",207000,"Powiat kamiennogórski",2008,NA
"15968",208000,"Powiat kłodzki",2008,NA
"15969",209000,"Powiat legnicki",2008,NA
"15970",210000,"Powiat lubański",2008,NA
"15971",211000,"Powiat lubiński",2008,NA
"15972",212000,"Powiat lwówecki",2008,NA
"15973",213000,"Powiat milicki",2008,NA
"15974",214000,"Powiat oleśnicki",2008,NA
"15975",215000,"Powiat oławski",2008,NA
"15976",216000,"Powiat polkowicki",2008,NA
"15977",217000,"Powiat strzeliński",2008,NA
"15978",218000,"Powiat średzki",2008,NA
"15979",219000,"Powiat świdnicki",2008,NA
"15980",220000,"Powiat trzebnicki",2008,NA
"15981",221000,"Powiat wałbrzyski",2008,NA
"15982",222000,"Powiat wołowski",2008,NA
"15983",223000,"Powiat wrocławski",2008,NA
"15984",224000,"Powiat ząbkowicki",2008,NA
"15985",225000,"Powiat zgorzelecki",2008,NA
"15986",226000,"Powiat złotoryjski",2008,NA
"15987",261000,"Powiat m.Jelenia Góra",2008,NA
"15988",262000,"Powiat m.Legnica",2008,NA
"15989",264000,"Powiat m.Wrocław",2008,NA
"15990",265000,"Powiat m.Wałbrzych od 2013",2008,NA
"15991",401000,"Powiat aleksandrowski",2008,NA
"15992",402000,"Powiat brodnicki",2008,NA
"15993",403000,"Powiat bydgoski",2008,NA
"15994",404000,"Powiat chełmiński",2008,NA
"15995",405000,"Powiat golubsko-dobrzyński",2008,NA
"15996",406000,"Powiat grudziądzki",2008,NA
"15997",407000,"Powiat inowrocławski",2008,NA
"15998",408000,"Powiat lipnowski",2008,NA
"15999",409000,"Powiat mogileński",2008,NA
"16000",410000,"Powiat nakielski",2008,NA
"16001",411000,"Powiat radziejowski",2008,NA
"16002",412000,"Powiat rypiński",2008,NA
"16003",413000,"Powiat sępoleński",2008,NA
"16004",414000,"Powiat świecki",2008,NA
"16005",415000,"Powiat toruński",2008,NA
"16006",416000,"Powiat tucholski",2008,NA
"16007",417000,"Powiat wąbrzeski",2008,NA
"16008",418000,"Powiat włocławski",2008,NA
"16009",419000,"Powiat żniński",2008,NA
"16010",461000,"Powiat m.Bydgoszcz",2008,NA
"16011",462000,"Powiat m.Grudziądz",2008,NA
"16012",463000,"Powiat m.Toruń",2008,NA
"16013",464000,"Powiat m.Włocławek",2008,NA
"16014",601000,"Powiat bialski",2008,NA
"16015",602000,"Powiat biłgorajski",2008,NA
"16016",603000,"Powiat chełmski",2008,NA
"16017",604000,"Powiat hrubieszowski",2008,NA
"16018",605000,"Powiat janowski",2008,NA
"16019",606000,"Powiat krasnostawski",2008,NA
"16020",607000,"Powiat kraśnicki",2008,NA
"16021",608000,"Powiat lubartowski",2008,NA
"16022",609000,"Powiat lubelski",2008,NA
"16023",610000,"Powiat łęczyński",2008,NA
"16024",611000,"Powiat łukowski",2008,NA
"16025",612000,"Powiat opolski",2008,NA
"16026",613000,"Powiat parczewski",2008,NA
"16027",614000,"Powiat puławski",2008,NA
"16028",615000,"Powiat radzyński",2008,NA
"16029",616000,"Powiat rycki",2008,NA
"16030",617000,"Powiat świdnicki",2008,NA
"16031",618000,"Powiat tomaszowski",2008,NA
"16032",619000,"Powiat włodawski",2008,NA
"16033",620000,"Powiat zamojski",2008,NA
"16034",661000,"Powiat m.Biała Podlaska",2008,NA
"16035",662000,"Powiat m.Chełm",2008,NA
"16036",663000,"Powiat m.Lublin",2008,NA
"16037",664000,"Powiat m.Zamość",2008,NA
"16038",801000,"Powiat gorzowski",2008,NA
"16039",802000,"Powiat krośnieński",2008,NA
"16040",803000,"Powiat międzyrzecki",2008,NA
"16041",804000,"Powiat nowosolski",2008,NA
"16042",805000,"Powiat słubicki",2008,NA
"16043",806000,"Powiat strzelecko-drezdenecki",2008,NA
"16044",807000,"Powiat sulęciński",2008,NA
"16045",808000,"Powiat świebodziński",2008,NA
"16046",809000,"Powiat zielonogórski",2008,NA
"16047",810000,"Powiat żagański",2008,NA
"16048",811000,"Powiat żarski",2008,NA
"16049",812000,"Powiat wschowski",2008,NA
"16050",861000,"Powiat m.Gorzów Wielkopolski",2008,NA
"16051",862000,"Powiat m.Zielona Góra",2008,NA
"16052",1001000,"Powiat bełchatowski",2008,NA
"16053",1002000,"Powiat kutnowski",2008,NA
"16054",1003000,"Powiat łaski",2008,NA
"16055",1004000,"Powiat łęczycki",2008,NA
"16056",1005000,"Powiat łowicki",2008,NA
"16057",1006000,"Powiat łódzki wschodni",2008,NA
"16058",1007000,"Powiat opoczyński",2008,NA
"16059",1008000,"Powiat pabianicki",2008,NA
"16060",1009000,"Powiat pajęczański",2008,NA
"16061",1010000,"Powiat piotrkowski",2008,NA
"16062",1011000,"Powiat poddębicki",2008,NA
"16063",1012000,"Powiat radomszczański",2008,NA
"16064",1013000,"Powiat rawski",2008,NA
"16065",1014000,"Powiat sieradzki",2008,NA
"16066",1015000,"Powiat skierniewicki",2008,NA
"16067",1016000,"Powiat tomaszowski",2008,NA
"16068",1017000,"Powiat wieluński",2008,NA
"16069",1018000,"Powiat wieruszowski",2008,NA
"16070",1019000,"Powiat zduńskowolski",2008,NA
"16071",1020000,"Powiat zgierski",2008,NA
"16072",1021000,"Powiat brzeziński",2008,NA
"16073",1061000,"Powiat m.Łódź",2008,NA
"16074",1062000,"Powiat m.Piotrków Trybunalski",2008,NA
"16075",1063000,"Powiat m.Skierniewice",2008,NA
"16076",1201000,"Powiat bocheński",2008,NA
"16077",1202000,"Powiat brzeski",2008,NA
"16078",1203000,"Powiat chrzanowski",2008,NA
"16079",1204000,"Powiat dąbrowski",2008,NA
"16080",1205000,"Powiat gorlicki",2008,NA
"16081",1206000,"Powiat krakowski",2008,NA
"16082",1207000,"Powiat limanowski",2008,NA
"16083",1208000,"Powiat miechowski",2008,NA
"16084",1209000,"Powiat myślenicki",2008,NA
"16085",1210000,"Powiat nowosądecki",2008,NA
"16086",1211000,"Powiat nowotarski",2008,NA
"16087",1212000,"Powiat olkuski",2008,NA
"16088",1213000,"Powiat oświęcimski",2008,NA
"16089",1214000,"Powiat proszowicki",2008,NA
"16090",1215000,"Powiat suski",2008,NA
"16091",1216000,"Powiat tarnowski",2008,NA
"16092",1217000,"Powiat tatrzański",2008,NA
"16093",1218000,"Powiat wadowicki",2008,NA
"16094",1219000,"Powiat wielicki",2008,NA
"16095",1261000,"Powiat m.Kraków",2008,NA
"16096",1262000,"Powiat m.Nowy Sącz",2008,NA
"16097",1263000,"Powiat m.Tarnów",2008,NA
"16098",1401000,"Powiat białobrzeski",2008,NA
"16099",1402000,"Powiat ciechanowski",2008,NA
"16100",1403000,"Powiat garwoliński",2008,NA
"16101",1404000,"Powiat gostyniński",2008,NA
"16102",1405000,"Powiat grodziski",2008,NA
"16103",1406000,"Powiat grójecki",2008,NA
"16104",1407000,"Powiat kozienicki",2008,NA
"16105",1408000,"Powiat legionowski",2008,NA
"16106",1409000,"Powiat lipski",2008,NA
"16107",1410000,"Powiat łosicki",2008,NA
"16108",1411000,"Powiat makowski",2008,NA
"16109",1412000,"Powiat miński",2008,NA
"16110",1413000,"Powiat mławski",2008,NA
"16111",1414000,"Powiat nowodworski",2008,NA
"16112",1415000,"Powiat ostrołęcki",2008,NA
"16113",1416000,"Powiat ostrowski",2008,NA
"16114",1417000,"Powiat otwocki",2008,NA
"16115",1418000,"Powiat piaseczyński",2008,NA
"16116",1419000,"Powiat płocki",2008,NA
"16117",1420000,"Powiat płoński",2008,NA
"16118",1421000,"Powiat pruszkowski",2008,NA
"16119",1422000,"Powiat przasnyski",2008,NA
"16120",1423000,"Powiat przysuski",2008,NA
"16121",1424000,"Powiat pułtuski",2008,NA
"16122",1425000,"Powiat radomski",2008,NA
"16123",1426000,"Powiat siedlecki",2008,NA
