"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_ogolem_zl"
"1143",203000,"Powiat głogowski",2018,3550
"1144",204000,"Powiat górowski",2018,1678
"1145",205000,"Powiat jaworski",2018,2625
"1146",206000,"Powiat jeleniogórski",2018,3114
"1147",207000,"Powiat kamiennogórski",2018,1587
"1148",208000,"Powiat kłodzki",2018,2311
"1149",209000,"Powiat legnicki",2018,2403
"1150",210000,"Powiat lubański",2018,2246
"1151",211000,"Powiat lubiński",2018,3708
"1152",212000,"Powiat lwówecki",2018,1764
"1153",213000,"Powiat milicki",2018,2558
"1154",214000,"Powiat oleśnicki",2018,3767
"1155",215000,"Powiat oławski",2018,3886
"1156",216000,"Powiat polkowicki",2018,3098
"1157",217000,"Powiat strzeliński",2018,3529
"1158",218000,"Powiat średzki",2018,4260
"1159",219000,"Powiat świdnicki",2018,2966
"1160",220000,"Powiat trzebnicki",2018,3871
"1161",221000,"Powiat wałbrzyski",2018,1371
"1162",222000,"Powiat wołowski",2018,2807
"1163",223000,"Powiat wrocławski",2018,4525
"1164",224000,"Powiat ząbkowicki",2018,1829
"1165",225000,"Powiat zgorzelecki",2018,2681
"1166",226000,"Powiat złotoryjski",2018,2451
"1167",261000,"Powiat m.Jelenia Góra",2018,2918
"1168",262000,"Powiat m.Legnica",2018,3117
"1169",264000,"Powiat m.Wrocław",2018,5906
"1170",265000,"Powiat m.Wałbrzych od 2013",2018,2115
"1171",401000,"Powiat aleksandrowski",2018,3475
"1172",402000,"Powiat brodnicki",2018,3465
"1173",403000,"Powiat bydgoski",2018,3632
"1174",404000,"Powiat chełmiński",2018,2556
"1175",405000,"Powiat golubsko-dobrzyński",2018,2508
"1176",406000,"Powiat grudziądzki",2018,1829
"1177",407000,"Powiat inowrocławski",2018,3252
"1178",408000,"Powiat lipnowski",2018,2096
"1179",409000,"Powiat mogileński",2018,2333
"1180",410000,"Powiat nakielski",2018,2716
"1181",411000,"Powiat radziejowski",2018,2281
"1182",412000,"Powiat rypiński",2018,2676
"1183",413000,"Powiat sępoleński",2018,2011
"1184",414000,"Powiat świecki",2018,3089
"1185",415000,"Powiat toruński",2018,2997
"1186",416000,"Powiat tucholski",2018,2203
"1187",417000,"Powiat wąbrzeski",2018,2052
"1188",418000,"Powiat włocławski",2018,1679
"1189",419000,"Powiat żniński",2018,3162
"1190",461000,"Powiat m.Bydgoszcz",2018,4610
"1191",462000,"Powiat m.Grudziądz",2018,3028
"1192",463000,"Powiat m.Toruń",2018,4796
"1193",464000,"Powiat m.Włocławek",2018,2817
"1194",601000,"Powiat bialski",2018,2710
"1195",602000,"Powiat biłgorajski",2018,3389
"1196",603000,"Powiat chełmski",2018,2145
"1197",604000,"Powiat hrubieszowski",2018,2254
"1198",605000,"Powiat janowski",2018,2708
"1199",606000,"Powiat krasnostawski",2018,2635
"1200",607000,"Powiat kraśnicki",2018,2509
"1201",608000,"Powiat lubartowski",2018,3445
"1202",609000,"Powiat lubelski",2018,4212
"1203",610000,"Powiat łęczyński",2018,3351
"1204",611000,"Powiat łukowski",2018,3377
"1205",612000,"Powiat opolski",2018,2636
"1206",613000,"Powiat parczewski",2018,2714
"1207",614000,"Powiat puławski",2018,3736
"1208",615000,"Powiat radzyński",2018,3370
"1209",616000,"Powiat rycki",2018,2806
"1210",617000,"Powiat świdnicki",2018,3859
"1211",618000,"Powiat tomaszowski",2018,2503
"1212",619000,"Powiat włodawski",2018,2759
"1213",620000,"Powiat zamojski",2018,1850
"1214",661000,"Powiat m.Biała Podlaska",2018,2943
"1215",662000,"Powiat m.Chełm",2018,2964
"1216",663000,"Powiat m.Lublin",2018,5202
"1217",664000,"Powiat m.Zamość",2018,3472
"1218",801000,"Powiat gorzowski",2018,3181
"1219",802000,"Powiat krośnieński",2018,2661
"1220",803000,"Powiat międzyrzecki",2018,2509
"1221",804000,"Powiat nowosolski",2018,2748
"1222",805000,"Powiat słubicki",2018,3226
"1223",806000,"Powiat strzelecko-drezdenecki",2018,2723
"1224",807000,"Powiat sulęciński",2018,2152
"1225",808000,"Powiat świebodziński",2018,2898
"1226",809000,"Powiat zielonogórski",2018,2532
"1227",810000,"Powiat żagański",2018,2017
"1228",811000,"Powiat żarski",2018,2728
"1229",812000,"Powiat wschowski",2018,2134
"1230",861000,"Powiat m.Gorzów Wielkopolski",2018,3588
"1231",862000,"Powiat m.Zielona Góra",2018,3863
"1232",1001000,"Powiat bełchatowski",2018,2801
"1233",1002000,"Powiat kutnowski",2018,3761
"1234",1003000,"Powiat łaski",2018,2511
"1235",1004000,"Powiat łęczycki",2018,2761
"1236",1005000,"Powiat łowicki",2018,3265
"1237",1006000,"Powiat łódzki wschodni",2018,2936
"1238",1007000,"Powiat opoczyński",2018,2926
"1239",1008000,"Powiat pabianicki",2018,3035
"1240",1009000,"Powiat pajęczański",2018,3115
"1241",1010000,"Powiat piotrkowski",2018,1670
"1242",1011000,"Powiat poddębicki",2018,2783
"1243",1012000,"Powiat radomszczański",2018,3294
"1244",1013000,"Powiat rawski",2018,3633
"1245",1014000,"Powiat sieradzki",2018,3065
"1246",1015000,"Powiat skierniewicki",2018,0
"1247",1016000,"Powiat tomaszowski",2018,2925
"1248",1017000,"Powiat wieluński",2018,4498
"1249",1018000,"Powiat wieruszowski",2018,2817
"1250",1019000,"Powiat zduńskowolski",2018,2762
"1251",1020000,"Powiat zgierski",2018,3086
"1252",1021000,"Powiat brzeziński",2018,3403
"1253",1061000,"Powiat m.Łódź",2018,4434
"1254",1062000,"Powiat m.Piotrków Trybunalski",2018,2872
"1255",1063000,"Powiat m.Skierniewice",2018,4029
"1256",1201000,"Powiat bocheński",2018,4270
"1257",1202000,"Powiat brzeski",2018,3878
"1258",1203000,"Powiat chrzanowski",2018,2878
"1259",1204000,"Powiat dąbrowski",2018,2483
"1260",1205000,"Powiat gorlicki",2018,2807
"1261",1206000,"Powiat krakowski",2018,4754
"1262",1207000,"Powiat limanowski",2018,3289
"1263",1208000,"Powiat miechowski",2018,3736
"1264",1209000,"Powiat myślenicki",2018,4972
"1265",1210000,"Powiat nowosądecki",2018,4854
"1266",1211000,"Powiat nowotarski",2018,4711
"1267",1212000,"Powiat olkuski",2018,2893
"1268",1213000,"Powiat oświęcimski",2018,3401
"1269",1214000,"Powiat proszowicki",2018,3499
"1270",1215000,"Powiat suski",2018,2781
"1271",1216000,"Powiat tarnowski",2018,3104
"1272",1217000,"Powiat tatrzański",2018,8327
"1273",1218000,"Powiat wadowicki",2018,3632
"1274",1219000,"Powiat wielicki",2018,4478
"1275",1261000,"Powiat m.Kraków",2018,6511
"1276",1262000,"Powiat m.Nowy Sącz",2018,3709
"1277",1263000,"Powiat m.Tarnów",2018,3431
"1278",1401000,"Powiat białobrzeski",2018,3278
"1279",1402000,"Powiat ciechanowski",2018,2998
"1280",1403000,"Powiat garwoliński",2018,3173
"1281",1404000,"Powiat gostyniński",2018,2724
"1282",1405000,"Powiat grodziski",2018,4129
"1283",1406000,"Powiat grójecki",2018,4018
"1284",1407000,"Powiat kozienicki",2018,3086
"1285",1408000,"Powiat legionowski",2018,4937
"1286",1409000,"Powiat lipski",2018,2188
"1287",1410000,"Powiat łosicki",2018,2622
"1288",1411000,"Powiat makowski",2018,2105
"1289",1412000,"Powiat miński",2018,4588
"1290",1413000,"Powiat mławski",2018,3149
"1291",1414000,"Powiat nowodworski",2018,4196
"1292",1415000,"Powiat ostrołęcki",2018,0
"1293",1416000,"Powiat ostrowski",2018,3341
"1294",1417000,"Powiat otwocki",2018,5091
"1295",1418000,"Powiat piaseczyński",2018,5761
"1296",1419000,"Powiat płocki",2018,2158
"1297",1420000,"Powiat płoński",2018,2873
"1298",1421000,"Powiat pruszkowski",2018,5471
"1299",1422000,"Powiat przasnyski",2018,2911
"1300",1423000,"Powiat przysuski",2018,2353
"1301",1424000,"Powiat pułtuski",2018,3223
"1302",1425000,"Powiat radomski",2018,1903
"1303",1426000,"Powiat siedlecki",2018,2209
"1304",1427000,"Powiat sierpecki",2018,3303
"1305",1428000,"Powiat sochaczewski",2018,3518
"1306",1429000,"Powiat sokołowski",2018,3301
"1307",1430000,"Powiat szydłowiecki",2018,2349
"1308",1432000,"Powiat warszawski zachodni",2018,5241
"1309",1433000,"Powiat węgrowski",2018,2532
"1310",1434000,"Powiat wołomiński",2018,4860
"1311",1435000,"Powiat wyszkowski",2018,4040
"1312",1436000,"Powiat zwoleński",2018,2218
"1313",1437000,"Powiat żuromiński",2018,2545
"1314",1438000,"Powiat żyrardowski",2018,3781
"1315",1461000,"Powiat m.Ostrołęka",2018,3025
"1316",1462000,"Powiat m.Płock",2018,3822
"1317",1463000,"Powiat m.Radom",2018,3556
"1318",1464000,"Powiat m.Siedlce",2018,4163
"1319",1465000,"Powiat m. st. Warszawa",2018,8144
"1320",1601000,"Powiat brzeski",2018,2608
"1321",1602000,"Powiat głubczycki",2018,1481
"1322",1603000,"Powiat kędzierzyńsko-kozielski",2018,2148
"1323",1604000,"Powiat kluczborski",2018,2496
"1324",1605000,"Powiat krapkowicki",2018,2724
"1325",1606000,"Powiat namysłowski",2018,3279
"1326",1607000,"Powiat nyski",2018,2430
"1327",1608000,"Powiat oleski",2018,2504
"1328",1609000,"Powiat opolski",2018,2479
"1329",1610000,"Powiat prudnicki",2018,1562
"1330",1611000,"Powiat strzelecki",2018,2435
"1331",1661000,"Powiat m.Opole",2018,4579
"1332",1801000,"Powiat bieszczadzki",2018,2065
"1333",1802000,"Powiat brzozowski",2018,2564
"1334",1803000,"Powiat dębicki",2018,3352
"1335",1804000,"Powiat jarosławski",2018,3212
"1336",1805000,"Powiat jasielski",2018,2500
"1337",1806000,"Powiat kolbuszowski",2018,3983
"1338",1807000,"Powiat krośnieński",2018,2522
"1339",1808000,"Powiat leżajski",2018,1873
"1340",1809000,"Powiat lubaczowski",2018,2219
"1341",1810000,"Powiat łańcucki",2018,3787
"1342",1811000,"Powiat mielecki",2018,3786
"1343",1812000,"Powiat niżański",2018,2685
"1344",1813000,"Powiat przemyski",2018,2769
"1345",1814000,"Powiat przeworski",2018,2891
"1346",1815000,"Powiat ropczycko-sędziszowski",2018,3518
"1347",1816000,"Powiat rzeszowski",2018,4169
"1348",1817000,"Powiat sanocki",2018,3003
"1349",1818000,"Powiat stalowowolski",2018,3129
"1350",1819000,"Powiat strzyżowski",2018,3241
"1351",1820000,"Powiat tarnobrzeski",2018,2500
"1352",1821000,"Powiat leski",2018,2606
"1353",1861000,"Powiat m.Krosno",2018,2859
"1354",1862000,"Powiat m.Przemyśl",2018,2848
"1355",1863000,"Powiat m.Rzeszów",2018,4764
"1356",1864000,"Powiat m.Tarnobrzeg",2018,3130
"1357",2001000,"Powiat augustowski",2018,3675
"1358",2002000,"Powiat białostocki",2018,3880
"1359",2003000,"Powiat bielski",2018,4257
"1360",2004000,"Powiat grajewski",2018,2999
"1361",2005000,"Powiat hajnowski",2018,2117
"1362",2006000,"Powiat kolneński",2018,2590
"1363",2007000,"Powiat łomżyński",2018,1692
"1364",2008000,"Powiat moniecki",2018,2365
"1365",2009000,"Powiat sejneński",2018,2524
"1366",2010000,"Powiat siemiatycki",2018,3270
"1367",2011000,"Powiat sokólski",2018,2949
"1368",2012000,"Powiat suwalski",2018,2019
"1369",2013000,"Powiat wysokomazowiecki",2018,4385
"1370",2014000,"Powiat zambrowski",2018,3248
"1371",2061000,"Powiat m.Białystok",2018,4747
"1372",2062000,"Powiat m.Łomża",2018,3688
"1373",2063000,"Powiat m.Suwałki",2018,3762
"1374",2201000,"Powiat bytowski",2018,3045
"1375",2202000,"Powiat chojnicki",2018,3595
"1376",2203000,"Powiat człuchowski",2018,2018
"1377",2204000,"Powiat gdański",2018,4733
"1378",2205000,"Powiat kartuski",2018,3738
"1379",2206000,"Powiat kościerski",2018,3846
"1380",2207000,"Powiat kwidzyński",2018,2791
"1381",2208000,"Powiat lęborski",2018,3149
"1382",2209000,"Powiat malborski",2018,3384
"1383",2210000,"Powiat nowodworski",2018,3979
"1384",2211000,"Powiat pucki",2018,4896
"1385",2212000,"Powiat słupski",2018,4304
"1386",2213000,"Powiat starogardzki",2018,3544
"1387",2214000,"Powiat tczewski",2018,3900
"1388",2215000,"Powiat wejherowski",2018,4625
"1389",2216000,"Powiat sztumski",2018,1756
"1390",2261000,"Powiat m.Gdańsk",2018,6656
"1391",2262000,"Powiat m.Gdynia",2018,6574
"1392",2263000,"Powiat m.Słupsk",2018,3390
"1393",2264000,"Powiat m.Sopot",2018,11161
"1394",2401000,"Powiat będziński",2018,2588
"1395",2402000,"Powiat bielski",2018,3498
"1396",2403000,"Powiat cieszyński",2018,3365
"1397",2404000,"Powiat częstochowski",2018,1953
"1398",2405000,"Powiat gliwicki",2018,2673
"1399",2406000,"Powiat kłobucki",2018,2887
"1400",2407000,"Powiat lubliniecki",2018,2758
"1401",2408000,"Powiat mikołowski",2018,2941
"1402",2409000,"Powiat myszkowski",2018,2466
"1403",2410000,"Powiat pszczyński",2018,2643
"1404",2411000,"Powiat raciborski",2018,2132
"1405",2412000,"Powiat rybnicki",2018,2154
"1406",2413000,"Powiat tarnogórski",2018,2885
"1407",2414000,"Powiat bieruńsko-lędziński",2018,2977
"1408",2415000,"Powiat wodzisławski",2018,1980
"1409",2416000,"Powiat zawierciański",2018,1887
"1410",2417000,"Powiat żywiecki",2018,3703
"1411",2461000,"Powiat m.Bielsko-Biała",2018,3969
"1412",2462000,"Powiat m.Bytom",2018,1992
"1413",2463000,"Powiat m.Chorzów",2018,3079
"1414",2464000,"Powiat m.Częstochowa",2018,3509
"1415",2465000,"Powiat m.Dąbrowa Górnicza",2018,2962
"1416",2466000,"Powiat m.Gliwice",2018,3564
"1417",2467000,"Powiat m.Jastrzębie-Zdrój",2018,2254
"1418",2468000,"Powiat m.Jaworzno",2018,3162
"1419",2469000,"Powiat m.Katowice",2018,3911
"1420",2470000,"Powiat m.Mysłowice",2018,2847
"1421",2471000,"Powiat m.Piekary Śląskie",2018,2483
"1422",2472000,"Powiat m.Ruda Śląska",2018,2404
"1423",2473000,"Powiat m.Rybnik",2018,2732
"1424",2474000,"Powiat m.Siemianowice Śląskie",2018,2772
"1425",2475000,"Powiat m.Sosnowiec",2018,2663
"1426",2476000,"Powiat m.Świętochłowice",2018,2276
"1427",2477000,"Powiat m.Tychy",2018,4243
"1428",2478000,"Powiat m.Zabrze",2018,2497
"1429",2479000,"Powiat m.Żory",2018,2800
"1430",2601000,"Powiat buski",2018,3049
"1431",2602000,"Powiat jędrzejowski",2018,2521
"1432",2603000,"Powiat kazimierski",2018,2791
"1433",2604000,"Powiat kielecki",2018,2443
"1434",2605000,"Powiat konecki",2018,2675
"1435",2606000,"Powiat opatowski",2018,3404
"1436",2607000,"Powiat ostrowiecki",2018,2301
"1437",2608000,"Powiat pińczowski",2018,2349
"1438",2609000,"Powiat sandomierski",2018,2900
"1439",2610000,"Powiat skarżyski",2018,2208
"1440",2611000,"Powiat starachowicki",2018,3051
"1441",2612000,"Powiat staszowski",2018,2443
"1442",2613000,"Powiat włoszczowski",2018,3093
"1443",2661000,"Powiat m.Kielce",2018,4407
"1444",2801000,"Powiat bartoszycki",2018,2299
"1445",2802000,"Powiat braniewski",2018,2098
"1446",2803000,"Powiat działdowski",2018,2973
"1447",2804000,"Powiat elbląski",2018,2407
"1448",2805000,"Powiat ełcki",2018,3184
"1449",2806000,"Powiat giżycki",2018,3115
"1450",2807000,"Powiat iławski",2018,3877
"1451",2808000,"Powiat kętrzyński",2018,1867
"1452",2809000,"Powiat lidzbarski",2018,2386
"1453",2810000,"Powiat mrągowski",2018,2841
"1454",2811000,"Powiat nidzicki",2018,2702
"1455",2812000,"Powiat nowomiejski",2018,3163
"1456",2813000,"Powiat olecki",2018,3227
"1457",2814000,"Powiat olsztyński",2018,3700
"1458",2815000,"Powiat ostródzki",2018,3200
"1459",2816000,"Powiat piski",2018,2093
"1460",2817000,"Powiat szczycieński",2018,2899
"1461",2818000,"Powiat gołdapski",2018,2630
"1462",2819000,"Powiat węgorzewski",2018,2650
"1463",2861000,"Powiat m.Elbląg",2018,3670
"1464",2862000,"Powiat m.Olsztyn",2018,4720
"1465",3001000,"Powiat chodzieski",2018,2822
"1466",3002000,"Powiat czarnkowsko-trzcianecki",2018,2504
"1467",3003000,"Powiat gnieźnieński",2018,3499
"1468",3004000,"Powiat gostyński",2018,2979
"1469",3005000,"Powiat grodziski",2018,3288
"1470",3006000,"Powiat jarociński",2018,3033
"1471",3007000,"Powiat kaliski",2018,1518
"1472",3008000,"Powiat kępiński",2018,3635
"1473",3009000,"Powiat kolski",2018,2621
"1474",3010000,"Powiat koniński",2018,2867
"1475",3011000,"Powiat kościański",2018,3537
"1476",3012000,"Powiat krotoszyński",2018,3298
"1477",3013000,"Powiat leszczyński",2018,3065
"1478",3014000,"Powiat międzychodzki",2018,2656
"1479",3015000,"Powiat nowotomyski",2018,2985
"1480",3016000,"Powiat obornicki",2018,3718
"1481",3017000,"Powiat ostrowski",2018,3333
"1482",3018000,"Powiat ostrzeszowski",2018,3673
"1483",3019000,"Powiat pilski",2018,3867
"1484",3020000,"Powiat pleszewski",2018,3213
"1485",3021000,"Powiat poznański",2018,4308
"1486",3022000,"Powiat rawicki",2018,3288
"1487",3023000,"Powiat słupecki",2018,2994
"1488",3024000,"Powiat szamotulski",2018,3363
"1489",3025000,"Powiat średzki",2018,3592
"1490",3026000,"Powiat śremski",2018,3533
"1491",3027000,"Powiat turecki",2018,2701
"1492",3028000,"Powiat wągrowiecki",2018,3201
"1493",3029000,"Powiat wolsztyński",2018,3908
"1494",3030000,"Powiat wrzesiński",2018,3483
"1495",3031000,"Powiat złotowski",2018,2570
"1496",3061000,"Powiat m.Kalisz",2018,3259
"1497",3062000,"Powiat m.Konin",2018,3236
"1498",3063000,"Powiat m.Leszno",2018,4074
"1499",3064000,"Powiat m.Poznań",2018,6191
"1500",3201000,"Powiat białogardzki",2018,2110
"1501",3202000,"Powiat choszczeński",2018,2306
"1502",3203000,"Powiat drawski",2018,2313
"1503",3204000,"Powiat goleniowski",2018,3306
"1504",3205000,"Powiat gryficki",2018,2348
"1505",3206000,"Powiat gryfiński",2018,2753
"1506",3207000,"Powiat kamieński",2018,6181
"1507",3208000,"Powiat kołobrzeski",2018,6242
"1508",3209000,"Powiat koszaliński",2018,6098
"1509",3210000,"Powiat myśliborski",2018,2704
"1510",3211000,"Powiat policki",2018,4561
"1511",3212000,"Powiat pyrzycki",2018,2194
"1512",3213000,"Powiat sławieński",2018,2992
"1513",3214000,"Powiat stargardzki",2018,3651
"1514",3215000,"Powiat szczecinecki",2018,2430
"1515",3216000,"Powiat świdwiński",2018,2181
"1516",3217000,"Powiat wałecki",2018,2747
"1517",3218000,"Powiat łobeski",2018,1704
"1518",3261000,"Powiat m.Koszalin",2018,3922
"1519",3262000,"Powiat m.Szczecin",2018,4893
"1520",3263000,"Powiat m.Świnoujście",2018,6780
"1521",201000,"Powiat bolesławiecki",2019,NA
"1522",202000,"Powiat dzierżoniowski",2019,NA
"1523",203000,"Powiat głogowski",2019,NA
"1524",204000,"Powiat górowski",2019,NA
"1525",205000,"Powiat jaworski",2019,NA
"1526",206000,"Powiat jeleniogórski",2019,NA
"1527",207000,"Powiat kamiennogórski",2019,NA
"1528",208000,"Powiat kłodzki",2019,NA
"1529",209000,"Powiat legnicki",2019,NA
"1530",210000,"Powiat lubański",2019,NA
"1531",211000,"Powiat lubiński",2019,NA
"1532",212000,"Powiat lwówecki",2019,NA
"1533",213000,"Powiat milicki",2019,NA
"1534",214000,"Powiat oleśnicki",2019,NA
"1535",215000,"Powiat oławski",2019,NA
"1536",216000,"Powiat polkowicki",2019,NA
"1537",217000,"Powiat strzeliński",2019,NA
"1538",218000,"Powiat średzki",2019,NA
"1539",219000,"Powiat świdnicki",2019,NA
"1540",220000,"Powiat trzebnicki",2019,NA
"1541",221000,"Powiat wałbrzyski",2019,NA
"1542",222000,"Powiat wołowski",2019,NA
"1543",223000,"Powiat wrocławski",2019,NA
"1544",224000,"Powiat ząbkowicki",2019,NA
"1545",225000,"Powiat zgorzelecki",2019,NA
"1546",226000,"Powiat złotoryjski",2019,NA
"1547",261000,"Powiat m.Jelenia Góra",2019,NA
"1548",262000,"Powiat m.Legnica",2019,NA
"1549",264000,"Powiat m.Wrocław",2019,NA
"1550",265000,"Powiat m.Wałbrzych od 2013",2019,NA
"1551",401000,"Powiat aleksandrowski",2019,NA
"1552",402000,"Powiat brodnicki",2019,NA
"1553",403000,"Powiat bydgoski",2019,NA
"1554",404000,"Powiat chełmiński",2019,NA
"1555",405000,"Powiat golubsko-dobrzyński",2019,NA
"1556",406000,"Powiat grudziądzki",2019,NA
"1557",407000,"Powiat inowrocławski",2019,NA
"1558",408000,"Powiat lipnowski",2019,NA
"1559",409000,"Powiat mogileński",2019,NA
"1560",410000,"Powiat nakielski",2019,NA
"1561",411000,"Powiat radziejowski",2019,NA
"1562",412000,"Powiat rypiński",2019,NA
"1563",413000,"Powiat sępoleński",2019,NA
"1564",414000,"Powiat świecki",2019,NA
"1565",415000,"Powiat toruński",2019,NA
"1566",416000,"Powiat tucholski",2019,NA
"1567",417000,"Powiat wąbrzeski",2019,NA
"1568",418000,"Powiat włocławski",2019,NA
"1569",419000,"Powiat żniński",2019,NA
"1570",461000,"Powiat m.Bydgoszcz",2019,NA
"1571",462000,"Powiat m.Grudziądz",2019,NA
"1572",463000,"Powiat m.Toruń",2019,NA
"1573",464000,"Powiat m.Włocławek",2019,NA
"1574",601000,"Powiat bialski",2019,NA
"1575",602000,"Powiat biłgorajski",2019,NA
"1576",603000,"Powiat chełmski",2019,NA
"1577",604000,"Powiat hrubieszowski",2019,NA
"1578",605000,"Powiat janowski",2019,NA
"1579",606000,"Powiat krasnostawski",2019,NA
"1580",607000,"Powiat kraśnicki",2019,NA
"1581",608000,"Powiat lubartowski",2019,NA
"1582",609000,"Powiat lubelski",2019,NA
"1583",610000,"Powiat łęczyński",2019,NA
"1584",611000,"Powiat łukowski",2019,NA
"1585",612000,"Powiat opolski",2019,NA
"1586",613000,"Powiat parczewski",2019,NA
"1587",614000,"Powiat puławski",2019,NA
"1588",615000,"Powiat radzyński",2019,NA
"1589",616000,"Powiat rycki",2019,NA
"1590",617000,"Powiat świdnicki",2019,NA
"1591",618000,"Powiat tomaszowski",2019,NA
"1592",619000,"Powiat włodawski",2019,NA
"1593",620000,"Powiat zamojski",2019,NA
"1594",661000,"Powiat m.Biała Podlaska",2019,NA
"1595",662000,"Powiat m.Chełm",2019,NA
"1596",663000,"Powiat m.Lublin",2019,NA
"1597",664000,"Powiat m.Zamość",2019,NA
"1598",801000,"Powiat gorzowski",2019,NA
"1599",802000,"Powiat krośnieński",2019,NA
"1600",803000,"Powiat międzyrzecki",2019,NA
"1601",804000,"Powiat nowosolski",2019,NA
"1602",805000,"Powiat słubicki",2019,NA
"1603",806000,"Powiat strzelecko-drezdenecki",2019,NA
"1604",807000,"Powiat sulęciński",2019,NA
"1605",808000,"Powiat świebodziński",2019,NA
"1606",809000,"Powiat zielonogórski",2019,NA
"1607",810000,"Powiat żagański",2019,NA
"1608",811000,"Powiat żarski",2019,NA
"1609",812000,"Powiat wschowski",2019,NA
"1610",861000,"Powiat m.Gorzów Wielkopolski",2019,NA
"1611",862000,"Powiat m.Zielona Góra",2019,NA
"1612",1001000,"Powiat bełchatowski",2019,NA
"1613",1002000,"Powiat kutnowski",2019,NA
"1614",1003000,"Powiat łaski",2019,NA
"1615",1004000,"Powiat łęczycki",2019,NA
"1616",1005000,"Powiat łowicki",2019,NA
"1617",1006000,"Powiat łódzki wschodni",2019,NA
"1618",1007000,"Powiat opoczyński",2019,NA
"1619",1008000,"Powiat pabianicki",2019,NA
"1620",1009000,"Powiat pajęczański",2019,NA
"1621",1010000,"Powiat piotrkowski",2019,NA
"1622",1011000,"Powiat poddębicki",2019,NA
"1623",1012000,"Powiat radomszczański",2019,NA
"1624",1013000,"Powiat rawski",2019,NA
"1625",1014000,"Powiat sieradzki",2019,NA
"1626",1015000,"Powiat skierniewicki",2019,NA
"1627",1016000,"Powiat tomaszowski",2019,NA
"1628",1017000,"Powiat wieluński",2019,NA
"1629",1018000,"Powiat wieruszowski",2019,NA
"1630",1019000,"Powiat zduńskowolski",2019,NA
"1631",1020000,"Powiat zgierski",2019,NA
"1632",1021000,"Powiat brzeziński",2019,NA
"1633",1061000,"Powiat m.Łódź",2019,NA
"1634",1062000,"Powiat m.Piotrków Trybunalski",2019,NA
"1635",1063000,"Powiat m.Skierniewice",2019,NA
"1636",1201000,"Powiat bocheński",2019,NA
"1637",1202000,"Powiat brzeski",2019,NA
"1638",1203000,"Powiat chrzanowski",2019,NA
"1639",1204000,"Powiat dąbrowski",2019,NA
"1640",1205000,"Powiat gorlicki",2019,NA
"1641",1206000,"Powiat krakowski",2019,NA
"1642",1207000,"Powiat limanowski",2019,NA
"1643",1208000,"Powiat miechowski",2019,NA
"1644",1209000,"Powiat myślenicki",2019,NA
"1645",1210000,"Powiat nowosądecki",2019,NA
"1646",1211000,"Powiat nowotarski",2019,NA
"1647",1212000,"Powiat olkuski",2019,NA
"1648",1213000,"Powiat oświęcimski",2019,NA
"1649",1214000,"Powiat proszowicki",2019,NA
"1650",1215000,"Powiat suski",2019,NA
"1651",1216000,"Powiat tarnowski",2019,NA
"1652",1217000,"Powiat tatrzański",2019,NA
"1653",1218000,"Powiat wadowicki",2019,NA
"1654",1219000,"Powiat wielicki",2019,NA
"1655",1261000,"Powiat m.Kraków",2019,NA
"1656",1262000,"Powiat m.Nowy Sącz",2019,NA
"1657",1263000,"Powiat m.Tarnów",2019,NA
"1658",1401000,"Powiat białobrzeski",2019,NA
"1659",1402000,"Powiat ciechanowski",2019,NA
"1660",1403000,"Powiat garwoliński",2019,NA
"1661",1404000,"Powiat gostyniński",2019,NA
"1662",1405000,"Powiat grodziski",2019,NA
"1663",1406000,"Powiat grójecki",2019,NA
"1664",1407000,"Powiat kozienicki",2019,NA
"1665",1408000,"Powiat legionowski",2019,NA
"1666",1409000,"Powiat lipski",2019,NA
"1667",1410000,"Powiat łosicki",2019,NA
"1668",1411000,"Powiat makowski",2019,NA
"1669",1412000,"Powiat miński",2019,NA
"1670",1413000,"Powiat mławski",2019,NA
"1671",1414000,"Powiat nowodworski",2019,NA
"1672",1415000,"Powiat ostrołęcki",2019,NA
"1673",1416000,"Powiat ostrowski",2019,NA
"1674",1417000,"Powiat otwocki",2019,NA
"1675",1418000,"Powiat piaseczyński",2019,NA
"1676",1419000,"Powiat płocki",2019,NA
"1677",1420000,"Powiat płoński",2019,NA
"1678",1421000,"Powiat pruszkowski",2019,NA
"1679",1422000,"Powiat przasnyski",2019,NA
"1680",1423000,"Powiat przysuski",2019,NA
"1681",1424000,"Powiat pułtuski",2019,NA
"1682",1425000,"Powiat radomski",2019,NA
"1683",1426000,"Powiat siedlecki",2019,NA
"1684",1427000,"Powiat sierpecki",2019,NA
"1685",1428000,"Powiat sochaczewski",2019,NA
"1686",1429000,"Powiat sokołowski",2019,NA
"1687",1430000,"Powiat szydłowiecki",2019,NA
"1688",1432000,"Powiat warszawski zachodni",2019,NA
"1689",1433000,"Powiat węgrowski",2019,NA
"1690",1434000,"Powiat wołomiński",2019,NA
"1691",1435000,"Powiat wyszkowski",2019,NA
"1692",1436000,"Powiat zwoleński",2019,NA
"1693",1437000,"Powiat żuromiński",2019,NA
"1694",1438000,"Powiat żyrardowski",2019,NA
"1695",1461000,"Powiat m.Ostrołęka",2019,NA
"1696",1462000,"Powiat m.Płock",2019,NA
"1697",1463000,"Powiat m.Radom",2019,NA
